turn_id,text,label_failure,outcome_type,source,conversation_id
synthetic-397-156,!!! THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!! !!!,1,repeated_correction,synthetic,conv-397
public-134-13,"Great, the new password reset flow makes sense to me now.",0,none,public,conv-134
public-193-72,Could you walk me through the refund process step by step?,0,none,public,conv-193
public-215-94,Could you walk me through the refund process step by step?,0,none,public,conv-215
synthetic-477-56,"Hi, Please help me understand my account balance for March.",0,none,synthetic,conv-477
public-239-118,"No further action needed from my side, all good here.",0,none,public,conv-239
public-7-6,"I hate this stupid broken service, escalate me to a human NOW",1,escalation,public,conv-7
public-205-84,"Thanks for the update, that answers my question.",0,none,public,conv-205
public-32-31,"I hate this stupid broken service, escalate me to a human NOW",1,escalation,public,conv-32
synthetic-579-158,"Hi, Could you walk me through the refund process step by step?",0,none,synthetic,conv-579
public-5-4,Wrong again. Wrong again. Wrong again. Fix it immediately!!!,1,escalation,public,conv-5
public-152-31,"That worked perfectly, appreciate your help today.",0,none,public,conv-152
synthetic-343-102,!!! Wrong again. Wrong again. Wrong again. Fix it immediately!!! !!!,1,repeated_correction,synthetic,conv-343
public-146-25,"Great, the new password reset flow makes sense to me now.",0,none,public,conv-146
synthetic-520-99,"Great, the new password reset flow makes sense to me now. Thank you.",0,none,synthetic,conv-520
synthetic-518-97,"Quick question: No further action needed from my side, all good here.",0,none,synthetic,conv-518
synthetic-462-41,"Quick question: Great, the new password reset flow makes sense to me now.",0,none,synthetic,conv-462
synthetic-355-114,!!! Wrong again. Wrong again. Wrong again. Fix it immediately!!! !!!,1,repeated_correction,synthetic,conv-355
synthetic-508-87,"Quick question: That worked perfectly, appreciate your help today.",0,none,synthetic,conv-508
synthetic-509-88,Quick question: I would like to change my shipping address on order 4421.,0,none,synthetic,conv-509
synthetic-303-62,"Terrible awful useless response, I am abandoning this chat I need a supervisor immediately.",1,repeated_correction,synthetic,conv-303
public-4-3,"Terrible awful useless response, I am abandoning this chat",1,escalation,public,conv-4
public-154-33,"That worked perfectly, appreciate your help today.",0,none,public,conv-154
synthetic-598-177,Quick question: Could you walk me through the refund process step by step?,0,none,synthetic,conv-598
synthetic-400-159,"I hate this stupid broken service, escalate me to a human NOW Again: I hate this stupid broken service, escalate me to a human NOW",1,repeated_correction,synthetic,conv-400
synthetic-368-127,"I am so angry and frustrated, this is the worst experience ever I need a supervisor immediately.",1,repeated_correction,synthetic,conv-368
public-235-114,"Thanks for the update, that answers my question.",0,none,public,conv-235
synthetic-442-21,"Great, the new password reset flow makes sense to me now. Thank you.",0,none,synthetic,conv-442
synthetic-401-160,!!! ESCALATE ESCALATE ESCALATE this is ridiculous!!! !!!,1,repeated_correction,synthetic,conv-401
synthetic-482-61,"Hi, That worked perfectly, appreciate your help today.",0,none,synthetic,conv-482
synthetic-367-126,"I hate this stupid broken service, escalate me to a human NOW I need a supervisor immediately.",1,repeated_correction,synthetic,conv-367
public-16-15,"I am so angry and frustrated, this is the worst experience ever",1,escalation,public,conv-16
public-69-68,ESCALATE ESCALATE ESCALATE this is ridiculous!!!,1,escalation,public,conv-69
synthetic-390-149,"I hate this stupid broken service, escalate me to a human NOW I need a supervisor immediately.",1,repeated_correction,synthetic,conv-390
synthetic-291-50,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!! Again: THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,repeated_correction,synthetic,conv-291
public-95-94,Wrong again. Wrong again. Wrong again. Fix it immediately!!!,1,escalation,public,conv-95
public-127-6,"No further action needed from my side, all good here.",0,none,public,conv-127
public-115-114,"Terrible awful useless response, I am abandoning this chat",1,escalation,public,conv-115
public-72-71,ESCALATE ESCALATE ESCALATE this is ridiculous!!!,1,escalation,public,conv-72
synthetic-425-4,I would like to change my shipping address on order 4421. Thank you.,0,none,synthetic,conv-425
public-108-107,"Terrible awful useless response, I am abandoning this chat",1,escalation,public,conv-108
synthetic-381-140,"Terrible awful useless response, I am abandoning this chat Again: Terrible awful useless response, I am abandoning this chat",1,repeated_correction,synthetic,conv-381
synthetic-246-5,Stop ignoring me!!! I already told you three times!!! I need a supervisor immediately.,1,repeated_correction,synthetic,conv-246
public-29-28,"Terrible awful useless response, I am abandoning this chat",1,escalation,public,conv-29
synthetic-515-94,"Quick question: That worked perfectly, appreciate your help today.",0,none,synthetic,conv-515
synthetic-498-77,"Hi, That worked perfectly, appreciate your help today.",0,none,synthetic,conv-498
synthetic-331-90,"!!! I hate this stupid broken service, escalate me to a human NOW !!!",1,repeated_correction,synthetic,conv-331
synthetic-374-133,!!! ESCALATE ESCALATE ESCALATE this is ridiculous!!! !!!,1,repeated_correction,synthetic,conv-374
public-202-81,"No further action needed from my side, all good here.",0,none,public,conv-202
synthetic-550-129,"Hi, Please help me understand my account balance for March.",0,none,synthetic,conv-550
synthetic-285-44,"I hate this stupid broken service, escalate me to a human NOW I need a supervisor immediately.",1,repeated_correction,synthetic,conv-285
public-230-109,Could you walk me through the refund process step by step?,0,none,public,conv-230
public-104-103,Stop ignoring me!!! I already told you three times!!!,1,escalation,public,conv-104
public-183-62,"Great, the new password reset flow makes sense to me now.",0,none,public,conv-183
synthetic-280-39,"Terrible awful useless response, I am abandoning this chat I need a supervisor immediately.",1,repeated_correction,synthetic,conv-280
public-33-32,"I am so angry and frustrated, this is the worst experience ever",1,escalation,public,conv-33
public-22-21,Stop ignoring me!!! I already told you three times!!!,1,escalation,public,conv-22
synthetic-476-55,"Quick question: No further action needed from my side, all good here.",0,none,synthetic,conv-476
public-35-34,Wrong again. Wrong again. Wrong again. Fix it immediately!!!,1,escalation,public,conv-35
synthetic-396-155,ESCALATE ESCALATE ESCALATE this is ridiculous!!! I need a supervisor immediately.,1,repeated_correction,synthetic,conv-396
synthetic-578-157,"That worked perfectly, appreciate your help today. Thank you.",0,none,synthetic,conv-578
public-191-70,Could you walk me through the refund process step by step?,0,none,public,conv-191
public-131-10,"Thanks for the update, that answers my question.",0,none,public,conv-131
synthetic-298-57,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!! Again: THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,repeated_correction,synthetic,conv-298
public-101-100,"Terrible awful useless response, I am abandoning this chat",1,escalation,public,conv-101
synthetic-457-36,"Quick question: Thanks for the update, that answers my question.",0,none,synthetic,conv-457
synthetic-373-132,Stop ignoring me!!! I already told you three times!!! Again: Stop ignoring me!!! I already told you three times!!!,1,repeated_correction,synthetic,conv-373
synthetic-272-31,!!! ESCALATE ESCALATE ESCALATE this is ridiculous!!! !!!,1,repeated_correction,synthetic,conv-272
synthetic-369-128,"!!! Terrible awful useless response, I am abandoning this chat !!!",1,repeated_correction,synthetic,conv-369
synthetic-542-121,Quick question: Could you walk me through the refund process step by step?,0,none,synthetic,conv-542
synthetic-408-167,!!! ESCALATE ESCALATE ESCALATE this is ridiculous!!! !!!,1,repeated_correction,synthetic,conv-408
synthetic-275-34,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!! I need a supervisor immediately.,1,repeated_correction,synthetic,conv-275
synthetic-245-4,"!!! I hate this stupid broken service, escalate me to a human NOW !!!",1,repeated_correction,synthetic,conv-245
public-204-83,I would like to change my shipping address on order 4421.,0,none,public,conv-204
public-34-33,Stop ignoring me!!! I already told you three times!!!,1,escalation,public,conv-34
public-94-93,"I hate this stupid broken service, escalate me to a human NOW",1,escalation,public,conv-94
public-9-8,"Terrible awful useless response, I am abandoning this chat",1,escalation,public,conv-9
public-113-112,Wrong again. Wrong again. Wrong again. Fix it immediately!!!,1,escalation,public,conv-113
public-80-79,"I hate this stupid broken service, escalate me to a human NOW",1,escalation,public,conv-80
synthetic-394-153,ESCALATE ESCALATE ESCALATE this is ridiculous!!! Again: ESCALATE ESCALATE ESCALATE this is ridiculous!!!,1,repeated_correction,synthetic,conv-394
public-25-24,Stop ignoring me!!! I already told you three times!!!,1,escalation,public,conv-25
synthetic-297-56,"!!! I hate this stupid broken service, escalate me to a human NOW !!!",1,repeated_correction,synthetic,conv-297
public-232-111,"Thanks for the update, that answers my question.",0,none,public,conv-232
public-49-48,Wrong again. Wrong again. Wrong again. Fix it immediately!!!,1,escalation,public,conv-49
public-57-56,Stop ignoring me!!! I already told you three times!!!,1,escalation,public,conv-57
public-91-90,"Terrible awful useless response, I am abandoning this chat",1,escalation,public,conv-91
synthetic-438-17,"Quick question: Great, the new password reset flow makes sense to me now.",0,none,synthetic,conv-438
synthetic-262-21,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!! Again: THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,repeated_correction,synthetic,conv-262
public-182-61,"Great, the new password reset flow makes sense to me now.",0,none,public,conv-182
synthetic-527-106,"Quick question: Great, the new password reset flow makes sense to me now.",0,none,synthetic,conv-527
public-172-51,"Thanks for the update, that answers my question.",0,none,public,conv-172
public-71-70,Stop ignoring me!!! I already told you three times!!!,1,escalation,public,conv-71
synthetic-270-29,Stop ignoring me!!! I already told you three times!!! I need a supervisor immediately.,1,repeated_correction,synthetic,conv-270
public-6-5,"I hate this stupid broken service, escalate me to a human NOW",1,escalation,public,conv-6
public-149-28,Could you walk me through the refund process step by step?,0,none,public,conv-149
synthetic-546-125,"Quick question: Thanks for the update, that answers my question.",0,none,synthetic,conv-546
synthetic-434-13,"Quick question: Great, the new password reset flow makes sense to me now.",0,none,synthetic,conv-434
public-200-79,Could you walk me through the refund process step by step?,0,none,public,conv-200
public-147-26,I would like to change my shipping address on order 4421.,0,none,public,conv-147
synthetic-342-101,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!! Again: THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,repeated_correction,synthetic,conv-342
synthetic-497-76,Quick question: Please help me understand my account balance for March.,0,none,synthetic,conv-497
synthetic-393-152,ESCALATE ESCALATE ESCALATE this is ridiculous!!! I need a supervisor immediately.,1,repeated_correction,synthetic,conv-393
synthetic-555-134,"Thanks for the update, that answers my question. Thank you.",0,none,synthetic,conv-555
public-99-98,Wrong again. Wrong again. Wrong again. Fix it immediately!!!,1,escalation,public,conv-99
synthetic-478-57,"No further action needed from my side, all good here. Thank you.",0,none,synthetic,conv-478
synthetic-267-26,"!!! Terrible awful useless response, I am abandoning this chat !!!",1,repeated_correction,synthetic,conv-267
synthetic-517-96,Quick question: Could you walk me through the refund process step by step?,0,none,synthetic,conv-517
synthetic-351-110,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!! Again: THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,repeated_correction,synthetic,conv-351
synthetic-474-53,"Great, the new password reset flow makes sense to me now. Thank you.",0,none,synthetic,conv-474
synthetic-561-140,"Hi, Great, the new password reset flow makes sense to me now.",0,none,synthetic,conv-561
public-151-30,I would like to change my shipping address on order 4421.,0,none,public,conv-151
synthetic-468-47,"Quick question: That worked perfectly, appreciate your help today.",0,none,synthetic,conv-468
synthetic-341-100,"!!! I hate this stupid broken service, escalate me to a human NOW !!!",1,repeated_correction,synthetic,conv-341
synthetic-591-170,I would like to change my shipping address on order 4421. Thank you.,0,none,synthetic,conv-591
public-41-40,"I hate this stupid broken service, escalate me to a human NOW",1,escalation,public,conv-41
synthetic-309-68,Stop ignoring me!!! I already told you three times!!! I need a supervisor immediately.,1,repeated_correction,synthetic,conv-309
public-238-117,"That worked perfectly, appreciate your help today.",0,none,public,conv-238
synthetic-274-33,"I hate this stupid broken service, escalate me to a human NOW Again: I hate this stupid broken service, escalate me to a human NOW",1,repeated_correction,synthetic,conv-274
public-3-2,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,escalation,public,conv-3
synthetic-423-2,"Thanks for the update, that answers my question. Thank you.",0,none,synthetic,conv-423
public-236-115,"Thanks for the update, that answers my question.",0,none,public,conv-236
synthetic-494-73,"No further action needed from my side, all good here. Thank you.",0,none,synthetic,conv-494
public-66-65,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,escalation,public,conv-66
public-164-43,"Thanks for the update, that answers my question.",0,none,public,conv-164
synthetic-456-35,Please help me understand my account balance for March. Thank you.,0,none,synthetic,conv-456
synthetic-581-160,"Hi, Could you walk me through the refund process step by step?",0,none,synthetic,conv-581
synthetic-429-8,Quick question: Could you walk me through the refund process step by step?,0,none,synthetic,conv-429
synthetic-499-78,"Quick question: Great, the new password reset flow makes sense to me now.",0,none,synthetic,conv-499
synthetic-514-93,"No further action needed from my side, all good here. Thank you.",0,none,synthetic,conv-514
public-62-61,"I am so angry and frustrated, this is the worst experience ever",1,escalation,public,conv-62
public-217-96,Please help me understand my account balance for March.,0,none,public,conv-217
synthetic-338-97,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!! Again: THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,repeated_correction,synthetic,conv-338
synthetic-263-22,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!! Again: THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,repeated_correction,synthetic,conv-263
synthetic-484-63,"Great, the new password reset flow makes sense to me now. Thank you.",0,none,synthetic,conv-484
synthetic-375-134,Stop ignoring me!!! I already told you three times!!! I need a supervisor immediately.,1,repeated_correction,synthetic,conv-375
public-45-44,Wrong again. Wrong again. Wrong again. Fix it immediately!!!,1,escalation,public,conv-45
synthetic-505-84,"Hi, Great, the new password reset flow makes sense to me now.",0,none,synthetic,conv-505
synthetic-376-135,"!!! I hate this stupid broken service, escalate me to a human NOW !!!",1,repeated_correction,synthetic,conv-376
synthetic-294-53,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!! Again: THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,repeated_correction,synthetic,conv-294
synthetic-565-144,Could you walk me through the refund process step by step? Thank you.,0,none,synthetic,conv-565
synthetic-528-107,"Hi, Great, the new password reset flow makes sense to me now.",0,none,synthetic,conv-528
synthetic-446-25,"Hi, No further action needed from my side, all good here.",0,none,synthetic,conv-446
synthetic-329-88,"I hate this stupid broken service, escalate me to a human NOW I need a supervisor immediately.",1,repeated_correction,synthetic,conv-329
public-38-37,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,escalation,public,conv-38
public-111-110,"I am so angry and frustrated, this is the worst experience ever",1,escalation,public,conv-111
synthetic-573-152,"No further action needed from my side, all good here. Thank you.",0,none,synthetic,conv-573
public-92-91,ESCALATE ESCALATE ESCALATE this is ridiculous!!!,1,escalation,public,conv-92
synthetic-513-92,"Hi, Great, the new password reset flow makes sense to me now.",0,none,synthetic,conv-513
synthetic-328-87,!!! Wrong again. Wrong again. Wrong again. Fix it immediately!!! !!!,1,repeated_correction,synthetic,conv-328
public-84-83,ESCALATE ESCALATE ESCALATE this is ridiculous!!!,1,escalation,public,conv-84
public-12-11,"Terrible awful useless response, I am abandoning this chat",1,escalation,public,conv-12
synthetic-440-19,Quick question: Please help me understand my account balance for March.,0,none,synthetic,conv-440
synthetic-589-168,"Great, the new password reset flow makes sense to me now. Thank you.",0,none,synthetic,conv-589
synthetic-244-3,"I am so angry and frustrated, this is the worst experience ever I need a supervisor immediately.",1,repeated_correction,synthetic,conv-244
public-43-42,"I am so angry and frustrated, this is the worst experience ever",1,escalation,public,conv-43
public-114-113,"Terrible awful useless response, I am abandoning this chat",1,escalation,public,conv-114
synthetic-594-173,"No further action needed from my side, all good here. Thank you.",0,none,synthetic,conv-594
public-181-60,"Thanks for the update, that answers my question.",0,none,public,conv-181
synthetic-271-30,"I am so angry and frustrated, this is the worst experience ever Again: I am so angry and frustrated, this is the worst experience ever",1,repeated_correction,synthetic,conv-271
synthetic-502-81,"Hi, I would like to change my shipping address on order 4421.",0,none,synthetic,conv-502
public-26-25,"I hate this stupid broken service, escalate me to a human NOW",1,escalation,public,conv-26
public-112-111,"I am so angry and frustrated, this is the worst experience ever",1,escalation,public,conv-112
public-24-23,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,escalation,public,conv-24
public-192-71,"Thanks for the update, that answers my question.",0,none,public,conv-192
synthetic-316-75,Stop ignoring me!!! I already told you three times!!! Again: Stop ignoring me!!! I already told you three times!!!,1,repeated_correction,synthetic,conv-316
synthetic-567-146,"That worked perfectly, appreciate your help today. Thank you.",0,none,synthetic,conv-567
public-176-55,"That worked perfectly, appreciate your help today.",0,none,public,conv-176
synthetic-365-124,Wrong again. Wrong again. Wrong again. Fix it immediately!!! Again: Wrong again. Wrong again. Wrong again. Fix it immediately!!!,1,repeated_correction,synthetic,conv-365
synthetic-558-137,"Quick question: No further action needed from my side, all good here.",0,none,synthetic,conv-558
synthetic-574-153,"Hi, I would like to change my shipping address on order 4421.",0,none,synthetic,conv-574
public-159-38,"That worked perfectly, appreciate your help today.",0,none,public,conv-159
public-10-9,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,escalation,public,conv-10
public-139-18,"That worked perfectly, appreciate your help today.",0,none,public,conv-139
synthetic-479-58,Quick question: I would like to change my shipping address on order 4421.,0,none,synthetic,conv-479
synthetic-431-10,Could you walk me through the refund process step by step? Thank you.,0,none,synthetic,conv-431
synthetic-492-71,"Quick question: That worked perfectly, appreciate your help today.",0,none,synthetic,conv-492
public-228-107,"No further action needed from my side, all good here.",0,none,public,conv-228
synthetic-545-124,"Great, the new password reset flow makes sense to me now. Thank you.",0,none,synthetic,conv-545
public-161-40,"No further action needed from my side, all good here.",0,none,public,conv-161
synthetic-553-132,"Hi, Please help me understand my account balance for March.",0,none,synthetic,conv-553
synthetic-380-139,Wrong again. Wrong again. Wrong again. Fix it immediately!!! Again: Wrong again. Wrong again. Wrong again. Fix it immediately!!!,1,repeated_correction,synthetic,conv-380
synthetic-422-1,Quick question: Please help me understand my account balance for March.,0,none,synthetic,conv-422
synthetic-566-145,"Quick question: Great, the new password reset flow makes sense to me now.",0,none,synthetic,conv-566
public-173-52,"That worked perfectly, appreciate your help today.",0,none,public,conv-173
synthetic-418-177,"!!! Terrible awful useless response, I am abandoning this chat !!!",1,repeated_correction,synthetic,conv-418
synthetic-427-6,"Great, the new password reset flow makes sense to me now. Thank you.",0,none,synthetic,conv-427
public-219-98,"No further action needed from my side, all good here.",0,none,public,conv-219
synthetic-600-179,I would like to change my shipping address on order 4421. Thank you.,0,none,synthetic,conv-600
public-167-46,Please help me understand my account balance for March.,0,none,public,conv-167
synthetic-439-18,"Hi, I would like to change my shipping address on order 4421.",0,none,synthetic,conv-439
public-178-57,Could you walk me through the refund process step by step?,0,none,public,conv-178
synthetic-327-86,Stop ignoring me!!! I already told you three times!!! I need a supervisor immediately.,1,repeated_correction,synthetic,conv-327
public-87-86,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,escalation,public,conv-87
synthetic-596-175,"Hi, Could you walk me through the refund process step by step?",0,none,synthetic,conv-596
public-201-80,I would like to change my shipping address on order 4421.,0,none,public,conv-201
public-121-0,"No further action needed from my side, all good here.",0,none,public,conv-121
public-20-19,"I hate this stupid broken service, escalate me to a human NOW",1,escalation,public,conv-20
public-40-39,ESCALATE ESCALATE ESCALATE this is ridiculous!!!,1,escalation,public,conv-40
synthetic-330-89,"!!! Terrible awful useless response, I am abandoning this chat !!!",1,repeated_correction,synthetic,conv-330
public-168-47,"No further action needed from my side, all good here.",0,none,public,conv-168
public-223-102,Could you walk me through the refund process step by step?,0,none,public,conv-223
synthetic-336-95,!!! THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!! !!!,1,repeated_correction,synthetic,conv-336
public-74-73,Stop ignoring me!!! I already told you three times!!!,1,escalation,public,conv-74
synthetic-451-30,Quick question: Could you walk me through the refund process step by step?,0,none,synthetic,conv-451
synthetic-534-113,"Hi, Thanks for the update, that answers my question.",0,none,synthetic,conv-534
synthetic-299-58,"I am so angry and frustrated, this is the worst experience ever Again: I am so angry and frustrated, this is the worst experience ever",1,repeated_correction,synthetic,conv-299
public-226-105,"Thanks for the update, that answers my question.",0,none,public,conv-226
public-52-51,"I am so angry and frustrated, this is the worst experience ever",1,escalation,public,conv-52
public-170-49,"That worked perfectly, appreciate your help today.",0,none,public,conv-170
synthetic-557-136,"Quick question: Great, the new password reset flow makes sense to me now.",0,none,synthetic,conv-557
public-65-64,"I am so angry and frustrated, this is the worst experience ever",1,escalation,public,conv-65
synthetic-587-166,"Hi, Great, the new password reset flow makes sense to me now.",0,none,synthetic,conv-587
synthetic-592-171,"Quick question: No further action needed from my side, all good here.",0,none,synthetic,conv-592
synthetic-511-90,Quick question: Please help me understand my account balance for March.,0,none,synthetic,conv-511
synthetic-554-133,"That worked perfectly, appreciate your help today. Thank you.",0,none,synthetic,conv-554
synthetic-584-163,"Quick question: Thanks for the update, that answers my question.",0,none,synthetic,conv-584
synthetic-243-2,"I hate this stupid broken service, escalate me to a human NOW I need a supervisor immediately.",1,repeated_correction,synthetic,conv-243
public-163-42,"No further action needed from my side, all good here.",0,none,public,conv-163
public-23-22,Stop ignoring me!!! I already told you three times!!!,1,escalation,public,conv-23
synthetic-366-125,"!!! Terrible awful useless response, I am abandoning this chat !!!",1,repeated_correction,synthetic,conv-366
synthetic-447-26,Quick question: Could you walk me through the refund process step by step?,0,none,synthetic,conv-447
synthetic-395-154,Wrong again. Wrong again. Wrong again. Fix it immediately!!! Again: Wrong again. Wrong again. Wrong again. Fix it immediately!!!,1,repeated_correction,synthetic,conv-395
synthetic-325-84,!!! THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!! !!!,1,repeated_correction,synthetic,conv-325
synthetic-539-118,"Hi, Could you walk me through the refund process step by step?",0,none,synthetic,conv-539
synthetic-371-130,THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!! Again: THIS IS UNACCEPTABLE!!! I keep repeating myself and nobody listens!!!,1,repeated_correction,synthetic,conv-371
synthetic-541-120,Quick question: Could you walk me through the refund process step by step?,0,none,synthetic,conv-541
public-194-73,"That worked perfectly, appreciate your help today.",0,none,public,conv-194
synthetic-563-142,"Hi, Could you walk me through the refund process step by step?",0,none,synthetic,conv-563
synthetic-372-131,"Terrible awful useless response, I am abandoning this chat Again: Terrible awful useless response, I am abandoning this chat",1,repeated_correction,synthetic,conv-372
public-177-56,I would like to change my shipping address on order 4421.,0,none,public,conv-177
synthetic-407-166,Wrong again. Wrong again. Wrong again. Fix it immediately!!! Again: Wrong again. Wrong again. Wrong again. Fix it immediately!!!,1,repeated_correction,synthetic,conv-407
